"vsg_id","early_1","earlysingle","latesingle","late_1"
"earlysingle_trinity.3",1e+06,1e+06,89673.29441,90368.84606
"late_1_trinity.2",0,0,90611.146612,90789.964646
"late_1_trinity.3",0,0,182776.583056,181774.213883
"late_1_trinity.5",0,0,90259.114699,90495.793798
"late_1_trinity.9",0,0,89368.867773,89017.829843
"late_1_trinity.10",0,0,90379.524878,90571.761233
"late_1_trinity.11",0,0,90289.492921,90457.911062
"late_1_trinity.12",0,0,93854.856066,93365.927845
"late_1_trinity.13",0,0,93400.651009,93402.501029
"latesingle_trinity.11",0,0,89386.468577,89755.250602
