"vsg_id","early_1_1.fq","earlysingle.fq","latesingle.fq","late_1_1.fq"
"early_1_trinity.3",1e+06,1e+06,89673.29441,90409.727032
"late_1_trinity.2",0,0,90611.146612,90542.536553
"late_1_trinity.3",0,0,182776.583056,181297.587527
"late_1_trinity.5",0,0,90259.114699,90371.034713
"late_1_trinity.9",0,0,89368.867773,89419.512224
"late_1_trinity.10",0,0,90379.524878,90254.618573
"late_1_trinity.11",0,0,90289.492921,90477.802396
"late_1_trinity.12",0,0,93854.856066,93324.481869
"late_1_trinity.13",0,0,93400.651009,94301.777594
"latesingle_trinity.11",0,0,89386.468577,89600.921519
