"sample","VSGs"
"900_d4_ORF",27
"908_d4_ORF",55
"R1_5REP_ORF",12
"914_14_ORF",446
"914_d45_ORF",247
"914_35_ORF",345
"R2_1_ORF",38
"908_35_ORF",236
"924_31_ORF",450
"929_52_ORF",221
"908_26_ORF",440
"924_d66_ORF",13
"908_38_ORF",97
"R2_2_ORF",2
"914_13_ORF",440
"924_24_ORF",506
"WT_L6_ORF",371
"924_18_ORF",328
"900_24_ORF",332
"R1_1_ORF",173
"WT_L8_ORF",465
"929_d33_ORF",0
"908_d45_ORF",342
"R1_9_ORF",5
"914_31_ORF",366
"WT_L5_ORF",373
"WT_E3_ORF",412
"914_5_ORF",37
"900_17_ORF",10
"908_d11_ORF",6
"B1_2_ORF",31
"B1_9_ORF",24
"900_21_ORF",293
"B1_4_ORF",22
"R2_3_ORF",9
"924_20_ORF",492
"908_28_ORF",488
"908_d70_ORF",2
"929_24_ORF",249
"924_40_ORF",356
"WT_E4_ORF",130
"914_28_ORF",473
"900_28_ORF",402
"WT_L3_ORF",767
"B1_7_ORF",36
"900_14_ORF",345
"R1_3_ORF",68
"R1_4_ORF",143
"B1_8_ORF",27
"900_26_ORF",340
"914_42_ORF",249
"WT_L4_ORF",89
"914_20_ORF",448
"WT_E1_ORF",266
"924_26_ORF",445
"900_d70_ORF",2
"WT_L1_ORF",455
"914_24_ORF",368
"924_d45_ORF",5
"929_d45_ORF",71
"908_5_ORF",34
"924_33_ORF",275
"900_13_ORF",333
"914_33_ORF",492
"WT_E7_ORF",236
"908_20_ORF",387
"929_d4_ORF",13
"908_6_ORF",27
"WT_L7_ORF",497
"B1_6_ORF",52
"900_d47_ORF",2
"B1_3_ORF",8
"R1_7_ORF",38
"929_20_ORF",187
"924_52_ORF",237
"914_d68_ORF",1
"B1_1_ORF",44
"R2_8_ORF",17
"900_42_ORF",234
"R2_7_ORF",28
"924_35_ORF",354
"B1_5_ORF",29
"R2_5_ORF",57
"924_19_ORF",472
"WT_L2_ORF",329
"929_10_ORF",251
"WT_E6_ORF",461
"908_24_ORF",343
"908_42_ORF",376
"908_52_ORF",265
"R1_4REP_ORF",50
"914_d4_ORF",4
"929_26_ORF",189
"WT_E2_ORF",323
"924_38_ORF",396
"929_13_ORF",409
"924_d4_ORF",11
"WT_E8_ORF",280
"R1_6_ORF",93
"929_21_ORF",273
"900_10_ORF",302
"914_6_ORF",57
"914_52_ORF",470
"R2_4_ORF",51
"R1_5_ORF",17
"908_61_ORF",170
"914_d17_ORF",293
"929_31_ORF",164
"924_28_ORF",457
"914_61_ORF",135
"924_54_ORF",120
"914_26_ORF",475
"900_20_ORF",294
"900_54_ORF",174
"908_40_ORF",255
"900_31_ORF",464
"924_10_ORF",322
"R2_2REP_ORF",14
"R2_6_ORF",7
"929_d66_ORF",14
"908_10_ORF",262
"924_d11_ORF",20
"924_17_ORF",283
"R2_9_ORF",4
"WT_E5_ORF",358
"R2_3REP_ORF",13
"900_d33_ORF",239
"908_31_ORF",186
